MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),13/09/2025 00:00
100109xxxxx,223xxxxx,9384.729,24 Hr Active Import Register (kWh),12/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),09/12/2025 00:00
100109xxxxx,223xxxxx,9375.23,24 Hr Active Import Register (kWh),11/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),09/11/2025 00:00
100109xxxxx,223xxxxx,9366.98,24 Hr Active Import Register (kWh),10/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),09/10/2025 00:00
100109xxxxx,223xxxxx,9358.528,24 Hr Active Import Register (kWh),09/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),09/09/2025 00:00
100109xxxxx,223xxxxx,9348.534,24 Hr Active Import Register (kWh),08/09/2025 00:00
100109xxxxx,223xxxxx,9337.707,24 Hr Active Import Register (kWh),07/09/2025 00:00
100109xxxxx,223xxxxx,9327.07,24 Hr Active Import Register (kWh),06/09/2025 00:00
100109xxxxx,223xxxxx,9318.915,24 Hr Active Import Register (kWh),05/09/2025 00:00
100109xxxxx,223xxxxx,9309.224,24 Hr Active Import Register (kWh),04/09/2025 00:00
100109xxxxx,223xxxxx,9299.658,24 Hr Active Import Register (kWh),03/09/2025 00:00
100109xxxxx,223xxxxx,9289.392,24 Hr Active Import Register (kWh),02/09/2025 00:00
100109xxxxx,223xxxxx,9279.018,24 Hr Active Import Register (kWh),01/09/2025 00:00
100109xxxxx,223xxxxx,9269.293,24 Hr Active Import Register (kWh),31/08/2025 00:00
100109xxxxx,223xxxxx,9255.352,24 Hr Active Import Register (kWh),30/08/2025 00:00
100109xxxxx,223xxxxx,9246.711,24 Hr Active Import Register (kWh),29/08/2025 00:00
100109xxxxx,223xxxxx,9237.704,24 Hr Active Import Register (kWh),28/08/2025 00:00
100109xxxxx,223xxxxx,9229.717,24 Hr Active Import Register (kWh),27/08/2025 00:00
100109xxxxx,223xxxxx,9221.008,24 Hr Active Import Register (kWh),26/08/2025 00:00
100109xxxxx,223xxxxx,9212.991,24 Hr Active Import Register (kWh),25/08/2025 00:00
100109xxxxx,223xxxxx,9202.483,24 Hr Active Import Register (kWh),24/08/2025 00:00
100109xxxxx,223xxxxx,9189.59,24 Hr Active Import Register (kWh),23/08/2025 00:00
100109xxxxx,223xxxxx,9181.261,24 Hr Active Import Register (kWh),22/08/2025 00:00
